Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,8.833E-07,-0.022451,0.13248,0,0,0,1.9915,0.064264,5.1919E-08,3.3811E-07,0.066864,4.0018E-07,0.0033029,0,0,0,0,0,0,package://ninezzhou/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/base_link.STL,,Base0-2,坐标系0 <Base0-2>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link1,-6.0224E-06,0.17977,-0.082131,0,0,0,2.345,0.0053455,-2.1605E-07,-4.4956E-08,0.0057695,-7.6605E-06,0.0039918,0,0,0,0,0,0,package://ninezzhou/meshes/Link1.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link1.STL,,Joint1-1,坐标系1,基准轴1,J1,prismatic,0,0,0,0,0,-5.4976E-05,base_link,0,0,1,0,0,0,0.58,,,,,,,,
Link2,0.09648,-3.2241E-17,-0.0023159,0,0,0,0.63753,0.00042969,2.3346E-20,4.7078E-19,0.0030796,2.3426E-21,0.0031941,0,0,0,0,0,0,package://ninezzhou/meshes/Link2.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link2.STL,,Joint2-2,坐标系2,基准轴2,J2,revolute,0,0.343,0,1.5708,-1.5708,0,Link1,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
Link3,0.093879,-6.9551E-06,-0.0013695,0,0,0,1.1649,0.0014842,3.1825E-08,1.196E-06,0.0015497,2.6138E-07,0.0023387,0,0,0,0,0,0,package://ninezzhou/meshes/Link3.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link3.STL,,Joint3-1,坐标系3,基准轴3,J3,revolute,0.225,0,0,0,0,0,Link2,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
Link4,-9.9056E-06,-0.075057,-0.0041094,0,0,0,0.76702,0.0013405,-4.4896E-08,2.6021E-07,0.0011867,-1.1458E-06,0.0015242,0,0,0,0,0,0,package://ninezzhou/meshes/Link4.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link4.STL,,Joint4-1,坐标系4,基准轴4,J4,revolute,0.225,0,0,0,0,1.5708,Link3,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
Link5,-0.00013574,-0.0006423,-0.098981,0,0,0,0.6604,0.00074971,-4.3063E-08,1.1953E-06,0.00098038,-2.5766E-07,0.00066467,0,0,0,0,0,0,package://ninezzhou/meshes/Link5.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link5.STL,,Joint5-1,坐标系5,基准轴5,J5,revolute,0,-0.343,0,-1.5708,0,-3.1416,Link4,0,0,1,0,0,-3.1416,3.1416,,,,,,,,
Link6,0.040361,-7.8404E-05,-0.0059401,0,0,0,0.36425,0.00027329,4.0992E-08,1.1795E-06,0.00039516,2.5972E-07,0.00047226,0,0,0,0,0,0,package://ninezzhou/meshes/Link6.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link6.STL,,Joint6-1,坐标系6,基准轴6,J6,revolute,0,0,0,1.5708,-1.5708,0,Link5,0,0,1,0,0,-1.48353,1.48353,,,,,,,,
Link7,0.048909,-0.00045484,0.00070527,0,0,0,0.39888,0.00037624,-6.4763E-10,7.9692E-10,0.00047675,-6.9764E-10,0.00048176,0,0,0,0,0,0,package://ninezzhou/meshes/Link7.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link7.STL,,Joint7-1,坐标系7,基准轴7,J7,revolute,0.135,0,0,-1.5708,0,0,Link6,0,0,1,0,0,-1.48353,1.48353,,,,,,,,
Link8,0.022866,-0.01035,-0.0030007,0,0,0,0.14715,6.3857E-05,1.7782E-05,-2.1328E-09,0.00010917,1.1293E-09,0.00013469,0,0,0,0,0,0,package://ninezzhou/meshes/Link8.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link8.STL,,Joint8-1,坐标系8,基准轴8,J8,revolute,0.11,0,0,1.5708,0,0,Link7,0,0,1,0,0,-1.48353,1.48353,,,,,,,,
Link9,0.049301,-5.8905E-05,-0.029388,0,0,0,0.033614,1.0422E-05,3.3885E-08,-5.9283E-06,3.3129E-05,8.8462E-09,2.9576E-05,0,0,0,0,0,0,package://ninezzhou/meshes/Link9.STL,1,1,1,1,0,0,0,0,0,0,package://ninezzhou/meshes/Link9.STL,,Joint9-1,坐标系9,基准轴9,J9,revolute,0.114,0,0,-1.5708,0.0014922,0,Link8,0,0,1,0,0,-1.48353,1.48353,,,,,,,,
